"","Var1","Freq"
"1","#<U+0001F63B>",1
"2","#<U+304F><U+308D><U+306D><U+3053>",1
"3","#<U+306B><U+3083><U+3093><U+3059><U+305F><U+3050><U+3089><U+3080>",5
"4","#<U+306D><U+3053>",48
"5","#<U+30B7><U+30CB><U+30A2><U+72AC>",2
"6","#<U+30B7><U+30CB><U+30A2><U+72AC>10<U+6B73>",2
"7","#<U+5E78><U+305B>",1
"8","#<U+732B>",30
"9","#<U+8089><U+5305>",1
"10","#<U+845B><U+4F18><U+8EBA>",1
"11","#<U+AC1C><U+C2A4><U+D0C0><U+ADF8><U+B7A8>",25
"12","#1",2
"13","#1:",1
"14","#15shorts",1
"15","#3leggedcat",1
"16","#3monthsoldpuppy",6
"17","#4monthsoldpuppy",2
"18","#5montholdpuppy",1
"19","#6montholdpuppy",1
"20","#9gagcats",3
"21","#aakifamshar",38
"22","#aatascat",3
"23","#AatasCat",1
"24","#abuse",1
"25","#actuallyhelooksfine",1
"26","#adamamshar",12
"27","#adopt",7
"28","#adoptadog",3
"29","#adoptandrescue",1
"30","#adoptandsavealife",1
"31","#adoptbenito",1
"32","#adoptbilla",1
"33","#adoptdonotshop",1
"34","#adoptdontbuy",16
"35","#adoptdontshop",230
"36","#adoptdontshop#adoptme#cutedog#spcasingapore#dogwalking#shelterdogs#shelteranimals#xbreed#crossbreed#mutt#villagedog#curlyfur#spca#forcefreetraining",1
"37","#adoptdontshop#adoptme#forcefreetraining#spcasingapore#mutt#singaporespecials#singaporedogs#dogwalking#instagramofdogs#shelterdogs#cutedog#browndogs#xbreed#crossbreed",1
"38","#adoptdontshop#adoptme#singaporespecials#cutedog#mutt#xbreed#crossbreed#instagramofdogs#youdonthaveto#forcefreetraining#dogwalking#shelterdogs#spca#spcasingapore#positivetraining#cute#browndogs#cuteshelterdogsofinstagram",1
"39","#adoptdontshop#bordercollie#crosscollie#xcollie#mutt#xbreed#singaporespecials#fearfreeshelters#fearfreepets#spcasingapore#dogwalking#instagramofdogs#trainwithoutpain#rewardyourdog",1
"40","#adoptdontshop#dogwalking#shelterdogsrule#happydogs#youdonthaveto#forcefreetraining#forcefree#adoptme#mutt#xbreed#crosscollie#xcollie#singaporespecial#singapore#spcasingapore#bordercolliesofinstagram#bordercollies",1
"41","#adoptdontshop#dogwalking#singaporespecials#shelterdogs#shelteranimals#cutedog#mutt#singaporedogs#xbreed#browndog#instagramofdogs#forcefreedogs#spcasingapore#adoptme#cancerdog#cancerdogsofinstagram",1
"42","#adoptdontshop#fearfreeshelter#fearfreepets#dogwalking#spcasingapore#cutedog#bordercollie#xcollie#crosscollie#singaporespecials#singaporedogs#mutt#dogs#cutedog#mutt#xbreed#crossbreed#adoptme#singaporedogstagram#singaporedogs",1
"43","#adoptdontshop#forcefreetraining#youdonthaveto#dogsofinstagram#dogloversofinstagram#bordercolliesofinstagram#singaporespecial#dogwalking#shelterdogs#shelterdogsrule#spcasingapore#instagramofdogsg#xbreed#crosscollie#bordercollie#colliesofinstagram#adorable",1
"44","#adoptdontshop#shelterdog#dogs#singaporespecials#singaporedogs#spcasingapore#forcefreetraining#shelteranimals#mutt#xbreed#crossbreed#crossbreeddogs#instagramofdogsg#youdonthaveto#adoptdontshop<U+0001F43E>",1
"45","#adoptdontshop#singaporespecial#spcasingapore#underamourshoes#underamour#dogwalking#forcefreetraining#positivetraining#shelterdogsrule#happycollie#bordercolliesofinstagram#xcollie#crossbreed#mutt#xcollie#youdonthaveto",1
"46","#adoptdontshop#spca#spcasingapore#adoptme#bordercollie#xcollie#crosscollie#xbreed#mutt#singaporespecials#dogs#shelterdogs#shelteranimals#trainwithoutpain#rewardyourdog#enrichmentfordogs#singaporedogs#instagramofdogs#positivetraining",1
"47","#adoptdontshop<U+0001F43E>",1
"48","#adoptdontstopt",1
"49","#adopted",1
"50","#adoptedcat",1
"51","#adoptedcats",1
"52","#adopteddogsofinstagram",1
"53","#adopter",1
"54","#adoption",11
"55","#adoptiondrive",2
"56","#adoptionphoto",1
"57","#adoptionsaveslives",4
"58","#AdoptionSavesLives",3
"59","#adoptme",1
"60","#adoptnotshop",2
"61","#adoptpuppy",1
"62","#adoptsg",2
"63","#adopttimon",1
"64","#adopttye",1
"65","#adventuretime",1
"66","#aesop",1
"67","#aggressive",1
"68","#agressive",1
"69","#aidanamshar",2
"70","#aircon",1
"71","#alarmclocks",1
"72","#alldogsdeserveagoodhome",1
"73","#allgrownup",2
"74","#alllifematters",1
"75","#ALLLIVESMATTER",1
"76","#allwaitingfortheirperfecthomes",1
"77","#amazingcat",1
"78","#amazingrescuestories",1
"79","#angiespets",1
"80","#animalabuser",1
"81","#animallovers",1
"82","#animalloversleague",1
"83","#animalloversleaguesg",1
"84","#animals",1
"85","#animalshelter",1
"86","#animalwelfare",2
"87","#animalwelfaregroupsg",1
"88","#animalwelfareshelter",1
"89","#artsy",1
"90","#asiancats",38
"91","#aww",1
"92","#babygirl",1
"93","#backtowork",1
"94","#badhairday",1
"95","#balloffury",1
"96","#bao",1
"97","#barkday",1
"98","#baskervillemuzzle",1
"99","#bathingtime<U+0001F6C0><U+0001F6BF>",1
"100","#bathtime",1
"101","#beach",1
"102","#beautifuldestinations",1
"103","#beautywithapurpose",2
"104","#beforeandafter",1
"105","#behaviourjunkie",2
"106","#bekindtoanimals",2
"107","#bestcataward",2
"108","#bestcatsclub",1
"109","#bestmeow",4
"110","#beyondbeauty",2
"111","#beyourself",1
"112","#bicycle",1
"113","#bigeyes",1
"114","#billa",1
"115","#birdwatching",1
"116","#birthday",1
"117","#birthdaycake",1
"118","#birthdayweek",1
"119","#blackandtan",1
"120","#blackandwhite",1
"121","#blackcat",10
"122","#blackcats",8
"123","#blackcatsofinstagram",1
"124","#blackdogsofinstagram",1
"125","#blackdogsrule",1
"126","#bloomberg",1
"127","#bobachalee",1
"128","#boehringeringelheim",1
"129","#bollywoodveggies",1
"130","#bookstagram",1
"131","#bordercollie#xcollie#spcasingapore#crossbreed#xbreed#mutt#muttdog#singaporespecials#dogs#shelterdogs#adoptdontshop#adoptme#singaporespecials#singaporedogs#cutedog#adoptme#forcefreetraining",1
"132","#borkday",1
"133","#breeddontmatter",1
"134","#briopets",1
"135","#briopetsreview",1
"136","#briopetsxbosch",1
"137","#browndog#spcasingapore#forcefreetraining#shelterdog#youdonthaveto#dogwalking#instagramofdogsg#singaporespecial#singaporedogs#doggy#adoptdontshop#adoptables#adoptme#adopt#singapore#xbreed#crossbreed#mutt",1
"138","#browntabby",37
"139","#bubblebath",1
"140","#bubbles",1
"141","#bunnies",1
"142","#bunniesofinstagram",1
"143","#bunniesworldwide",1
"144","#bunnyinstagr",1
"145","#bunnyinstagram",1
"146","#bunnyoftheday",1
"147","#burritocat",1
"148","#cancerdog#battlingdogcancer#dogwalking#cutedog#upforadoption#adoptdontshop#adoptme#cutedog#dogwalkings#mutt#xbreed#singaporespecials#singaporedogs#instagramofdogs#spcasingapore#forcefreetraining#youdonthaveto#positivetrainingworks",1
"149","#cancerdog#dogwalking#xmasdogs#adoptdontshop#adoptmeplease#spcadogs#spcasingapore#singaporespecials#mutt#xbreed#crossbreed#browndogs#forcefreetraining#positivetraining",1
"150","#caninecognition",1
"151","#canineenrichment",3
"152","#canineenrichment#dogwalking#snufflemat#forfreetraining#bordercollie#spcasingapore#adoptdontshop#adoptmeplease#dogs#xcollie#bordercollie#xbreed#mutt#cutedog#singaporespecials",1
"153","#canineenrichmentgames#spcadogs#spcasingapore#forcefreetraining#youdonthaveto#singaporespecial#dogwalking#xbreed#adoptdontshop#shelterdogsrule#instagramofdogsg#dogs#lowstresstraining#snufflemats#adoptables#dogsofsingapore",1
"154","#cantwaitforchristmas",1
"155","#capturedonhuawei",1
"156","#Carat55",1
"157","#Carat55xGabriellaRivalta",1
"158","#cat",47
"159","#cat_features",2
"160","#catbelly",5
"161","#catbox",1
"162","#catcare",1
"163","#catchinesenewyear",1
"164","#catcondo",1
"165","#catdaily",1
"166","#catdrinkingwater",1
"167","#catfashion",1
"168","#catfollowers",2
"169","#catgrooming",1
"170","#catinbasin",1
"171","#catinbasket",1
"172","#catinbox",2
"173","#catincloset",1
"174","#catinharness",1
"175","#catinlaundry",2
"176","#catkneading",1
"177","#catlife",7
"178","#catlife<U+0001F43E>",2
"179","#catlover",5
"180","#catlover#straycats",1
"181","#catlovers",43
"182","#catloversclub",2
"183","#catloverssingapore",5
"184","#catmodel",1
"185","#catmyboss",1
"186","#catoftheday",1
"187","#catonbed",1
"188","#catowner",2
"189","#catqueen",2
"190","#catractive",1
"191","#CatRescue",3
"192","#catrolling",1
"193","#cats",43
"194","#cats_of_day",1
"195","#cats_of_instagram",4
"196","#cats_of_world",4
"197","#cats_today",1
"198","#cats<U+0001F431>",1
"199","#catsagram",1
"200","#catsarelife",1
"201","#catscatscats",1
"202","#catscratchingpost",1
"203","#catsfollowers",4
"204","#catsg",6
"205","#catsgram",2
"206","#catshower",1
"207","#catslavelife",1
"208","#catslife",5
"209","#catslifestyle",1
"210","#catslover",1
"211","#catsofasia",38
"212","#catsofday",1
"213","#catsofgram",1
"214","#catsofig",1
"215","#catsofigsg",3
"216","#catsofinstagram",159
"217","#catsofinstagramsg",1
"218","#catsofinstasg",1
"219","#catsofsg",18
"220","#catsofsingapore",60
"221","#catsofsingapura",1
"222","#catsofworld",1
"223","#catssg",2
"224","#catstagram",7
"225","#catstgram",1
"226","#catstongueout",4
"227","#catstuff",1
"228","#cattail",1
"229","#cattent",1
"230","#cattitude",5
"231","#cattraining",1
"232","#cattree",1
"233","#cattunnel",1
"234","#cattv",1
"235","#caturday",1
"236","#catvideo",5
"237","#catviolence",1
"238","#catwelfaresociety",6
"239","#celebritycat",4
"240","#chasing,",1
"241","#chickendrumsticks",1
"242","#childrenbible",1
"243","#childrenhistory",1
"244","#chillvibes",1
"245","#chinesenewyear",1
"246","#chowchow",3
"247","#christmas",3
"248","#christmasdecorations",1
"249","#christmasenrichmentparty",1
"250","#christmasishere",1
"251","#christmasparty",1
"252","#christmastree",2
"253","#cityofgood",1
"254","#cityofgoodsg",1
"255","#claws",1
