,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
1,#puppylove_sg,#petsbehavingwell,#positivereinforcement,#singaporedogs,#positivedogtraining,#dogsofinstagram,#sgdog,#spcasingapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,#cat,#cats,#catkneading,#cutecat,#cutecats,#catsofinstagram,#cutecatsofinstagram,#catsofsingapore,#singaporecats,#sgcats,#spcasingapore,#adoptdontshop,#cute,#dailycute,#meow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,#spcasingapore,#sheltercats,#sleepingcats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,#spcasingapore#singaporespecials#dogwalking#adoptdontshop#adoptme#adoptdogs#rescuedogs#browndogs#happydog#forcefreetraining#fearfreeshelters#fearfreepets#k9enrichment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,#eastcoastparksingapore,#tired,#dogs,#mirandasosd,#sosd,#spcasingapore,#sgspecial,#singaporespecial,#mongrelsareawesome,#mutt,#adoptdontbuy,#hdbdog,#packwalk,#exercise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,#spcasingapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,#instafood,#foodporn,#sgfood,#sgfoodies,#instafood_sg,#foodspotting,#sgig,#instasg,#singaporeinsiders,#visitsingapore,#exploresingapore,#yoursingapore,#thisissingapore,#oursingapore,#singapore,#sg,#beautifuldestinations,#discoverearth,#bollywoodveggies,#jurongfrogfarm,#spcasingapore,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,#cat,#cats,#furbaby,#furry,#bigeyes,#meow,#cattitude,#catsofsg,#catsofinstagram,#catsofsingapore,#singaporecats,#sgcats,#spcasingapore,#ififitsisits,#adoptdontshop,#aww,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,#happycatsg,#happycat,#kucing,#cats,#catsofinstagram,#petsofinstagram,#bestmeow,#trendscat,#kittycat,#lovecats,#catlover,#catlovers,#bestcataward,#catlife,#stopanimalabuse,#stopanimalcruelty,#bekindtoanimals,#adoptdontshop,#beautywithapurpose,#beyondbeauty,#persiancat,#catowner,#cats_of_world,#dailycat,#ilovemycat,#catqueen,#responsiblepetownership,#animalwelfare,#animallovers,#spcasingapore
