,ID,Post_URL,Img_URL,Likes,Owner,Text,Date
57,B8qnibwnZXy,http://instagram.com/p/B8qnibwnZXy,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/84466905_113476020232289_2651572540136749629_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=6pJjnCcdObIAX-aolni&oh=fb03ca5c6ee6dea1a2442a60136cfdd7&oe=5E8F62E7,1343,1314535851,"An SPCA officer rescued this kitten from a shopping mall’s loading bay! Her limbs were stuck in a drain and were covered with sticky glue, possibly from a pest control company’s rodent glue trap that was found beside the drain. Luckily, a security guard called us for help. At SPCA, our veterinary team removed the glue and our inspectors reported the incident to AVS.  Glue board traps have caused multiple accidents in the past and not all animals are lucky enough to survive. We have previously appealed for a ban of glue board traps due to the suffering caused to ALL animals that are trapped on them. #spcasgrescues #spcasgclinic #spcasingapore",17/2/2020 19:13
55,B8tbr4iHjQY,http://instagram.com/p/B8tbr4iHjQY,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/82895608_196592361416854_655540740544263742_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=EdiH16LC42cAX-gZff8&oh=aeda4fdc5ebe9d3db0f8f09bfa527897&oe=5E6847C6,639,1314535851,"WOUNDED CAT’S AMAZING RECOVERY [GRAPHIC] Godfather was rescued with a severe necrotic wound, which exposed his tail bone. He was found extremely dehydrated and emaciated and his tail was severely damaged by a bacterial infection. . Our #spcasgclinic veterinary team started work on him immediately, including administering fluid therapy and performing a blood test. Test results revealed he was anaemic and had Feline Leukemia Virus (FeLV). We put him on an extensive course of antibiotics, flushed and cleaned his wound twice daily, and showered him with tender loving care. . A week into treatment, Godfather showed amazing progress. His red blood count had doubled and his open wound contracted to half its original size.  Once his anaemic condition was resolved, our vet performed surgery to amputate his tail bone. While recovering, he gained weight and his wound healed completely. After five months of care at SPCA, he was adopted into a loving family. <U+0001F499> #spcasgclinic #spcasingapore",18/2/2020 21:27
561,B12VAq-B2_h,http://instagram.com/p/B12VAq-B2_h,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/68655962_885984045120642_5545804980010079232_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=qMnTTQ1_StwAX_B4E7b&oh=eca2c0c2598db6dfe9f4d2f4f034a093&oe=5E9800C4,566,197651475,"Reposted by @spcasingapore APPEAL FOR INFORMATION: HORRIFIC ABUSE OF PUPPY  A video has been circulating on WhatsApp, featuring a woman (in screenshot) horrifically abusing a puppy by burning its eyes and breaking its limbs while its mouth is tied shut.  There are indications that the incident may not have occurred in Singapore but we are exploring all possibilities and urgently appealing for credible information to seek justice for the puppy.  If you know the identity and whereabouts of the woman, please provide the information to the relevant agency in your country. Alternatively, you can contact us at inspector@spca.org.sg and we will relay the message in strict confidence.  Let us stand united against animal cruelty, wherever it may occur.  NOTE: Please do not circulate the video. There are syndicates that profit from animal torture films, including some that are produced for sexual fetish. #spcasingapore",1/9/2019 8:42
48,B8yBY3bnZyn,http://instagram.com/p/B8yBY3bnZyn,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/84895126_186384542589331_8590486838180659838_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=9eiirJMyA20AX_IapRX&oh=d2b4a0738069f122685f282050bd7521&oe=5E98FA71,564,1314535851,"SPCA VOLUNTEER SPOTLIGHT — “I work from 6am to 6pm on weekdays as a gold trader but no amount of money can compare to the immense joy I feel when volunteering at SPCA. For a long time, I followed the good work SPCA did for community animals in Singapore. So when I decided it was time for me to start giving back more actively, SPCA was my number one choice.  My life value is compassion. Every day, I try to incorporate that into everything I do. So when it comes to caring for these animals, it’s easy to be committed. A couple of weeks after my first volunteer session, the shelter dogs finally recognised me and I was no longer just a stranger. It was such a warm feeling. They started to be comfortable around me and I became even more comfortable being with them. The memories I made with these amazing animals is something I will take to my grave.” - Prem, 34, Shelter Helper, with Harvey  Dedicated volunteers like Prem keep our services running. To find out ways you can help us, view our IG highlights (‘help us’) to find out more. <U+0001F499> #spcasgstories #spcasingapore",20/2/2020 16:14
323,B4TBFc2lm9_,http://instagram.com/p/B4TBFc2lm9_,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/73407444_156727208758542_693279800196383877_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=zzVyl9NmDVQAX9gTMDm&oh=451f4b2e2d233a40330b98ad919ae836&oe=5E8F9BB7,392,496751601,"At around 12.15am, @spcasingapore alerted me to a case of a cat seemingly on a collar and an attached leash on an overhead bridge in a cluster beside my feeding area. I had scheduled a trapping session tonight, at that same location, at 1am, and a ginger white cat was one of my targets. I thought this cat on the overhead bridge is my targeted TNR cat. So The Husband and I went over, to help SPCA watch over the cat (in case it falls off the bridge) and also to ascertain if it is my targeted cat.  To our horror, the cat was already half-body out of the mini platform, and may fall onto the busy road below the bridge anytime. Thankfully SPCA arrived soon, because I almost died of panic watching over the cat. I couldn't tell if it is my targeted cat because the cat was entirely camouflaged by the plants.  When Mark of SPCA arrived, we did a quick assessment. There was no way to get to the cat safely. Mark risked the danger of himself falling over, and climbed over to get to the cat. (Thank you so much! I owe you more coffee!) Cat was brought to safety, and Mark suffered some scratches. Then I realized this cat has a tipped ear, and is not my targeted TNR cat.  Which can only mean it is a lost cat.  SPCA has taken in this cat to locate its owner. I will follow up with this case should the owner is not found.  Cat was found in Sengkang, Rivervale Crescent. The ginger-white cat is suspected a male, big and fat, has untrimmed nails, and was on a red slip leash meant for dogs. I will only be able to find out if the cat has a microchip tomorrow.  So, whoever who has any information about this cat, please DM me. Thank you. . #SPCA #SPCASingapore #SPCAsg #CatRescue #AdoptionSavesLives #catwelfaresociety #sgcats #catsofsingapore #singaporecats #sgpets #catsg #cotwsg #catsofsg #clubpetsmag #petsmagazinesg #hdbcats #singaporepets #supportadoptionsg #catfollowers #CuteCatCrew #igcatjunky #TheDodo #TheAnimalRescueSite #catloverssingapore #catloverssingapore #singaporepets #catsofigsg #sengkangcats",1/11/2019 5:09
636,B1K-0nkBXbY,http://instagram.com/p/B1K-0nkBXbY,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/67378416_676647832810944_5885016029990963324_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=RUGJDB57pbAAX_4Vbna&oh=4d843c74fc49b8089fb95e441a9da4fc&oe=5E687AF2,343,15722136226,"Credit to @mr_flute_kitty_cat (@get_regrann) -  look at me, im doing a runway fashion show <U+0001F57A> <U+0001F57A> <U+0001F57A> . LOOK AT FLUTE GO! Flute was rescued by @spcasingapore  and adopted by his loving family. We'll post a sharing session about FLUTE really soon. Stay tuned! In the meantime, follow flute @mr_flute_kitty_cat to see his daily shenanigans with his human brothers <U+0001F43E><U+0001F499> . . . . . . . . #spcasingapore #specialneedscats #adoptdontshop #singaporecats #catsofsingapore #catstagram #catlovers #catoftheday #catsofinstagram #sgcatadoption #sgcats #catdaily #supportfiv #mrflute #dontbuyadopt #spcasingapore  #regrann",15/8/2019 12:41
41,B81sNQEnf67,http://instagram.com/p/B81sNQEnf67,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/87510421_758807317980789_1919364495969522627_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=C4XiH3ThU88AX-VEAgP&oh=178693b824dfa6ebd33968183a9e27a1&oe=5E976AB9,337,496751601,"This skinny, male, unsterilized ginger cat was found at Beng's block, right where Beng always naps at.  Hungry fellow devoured 3 tins of wet food in one go. Then I noticed blood on the feeding paper. Took a closer look at him and realized... (1) All his whiskers have been cut very short. (2) He has a big, rotting abscess on his lower lip.  I then decided to do a more thorough visual check. There are some other cuts around his mouth. Ginger chap is a young adult, probably 1 - 2 years old. Very tame and docile. His nails have been trimmed extremely short, way shorter than what I would do for cats. His paws are very dirty, so it is likely he has been outdoors for at least 2 days already.  I have lodged a case with @spcasingapore on suspected abuse and abandonment. SPCA have taken him in for treatment. I will follow up with another report to AVS and SPF.  Look, I don't care who taught you to cut short your cat's whiskers so your cat will not be able to find its way home after you abandon it. Because I can tell you now, this DOES NOT work. I also cannot confirm if his injury happened before or after you abandoned him, but good luck to you. You conveniently abandoned a cat who clearly would not survive outdoors. Like, hello? No whiskers, no long nails, doesn't know how to hunt for food... So how to defend itself against danger? The cat will not be able to climb trees at all, excuse me? #InsertExpletivesHere . #SPCAsg #SPCASingapore #CatRescue #AdoptionSavesLives #catwelfaresociety #sgcats #catsofsingapore #singaporecats #sgpets #catsg #cotwsg #catsofsg #clubpetsmag #petsmagazinesg #hdbcats #singaporepets #supportadoptionsg #TheDodo #TheAnimalRescueSite #catloverssingapore #catsofigsg #sgig #sgcat #sengkangcats",22/2/2020 2:25
199,B6J4hnnHLdi,http://instagram.com/p/B6J4hnnHLdi,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/80375142_143573650418072_3245424683275220860_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=_EvKz4MuzU8AX-fqGVB&oh=4645dd1f0ad2f192b3a1c79a812ec6ac&oe=5E990296,327,5794881600,"SPCA has posted on Facebook, seeking about $600,000 in donations to fund their rescue animal clinic and shelter supplies.<U+2063> <U+2063> They have also shared that their Community Animal Clinic needs about $600,000 each year to operate.<U+2063> <U+2063> For some context, this animal clinic sees about 20 animals daily, which adds up to 7,300 animals a year.<U+2063> <U+2063> They have even created a detailed budget list of how the money will be spent.<U+2063> <U+2063><U+2063> Link in bio!<U+2063><U+2063> <U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063> #Singaporenews<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063> #Mustsharenews<U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063> #Singapore #SPCA #SPCASG #SPCASingapore #KindSingapore<U+2063> <U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063> Read more here <U+0001F449><U+0001F3FB> http://bit.ly/MSNSPCAList<U+2063> <U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063><U+2063> <U+0001F4F8>: SPCA on Instagram.",17/12/2019 9:04
128,B7OPDB7pwd3,http://instagram.com/p/B7OPDB7pwd3,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/81527137_224734458527307_8170669070343971089_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=GW40_azYU5cAX9OBrYB&oh=e1f525adca2e39d2f4d87aa0881455c1&oe=5E8EA462,274,14772357848,"<U+2B50><U+FE0F> <U+0001D670><U+0001D684><U+0001D683><U+0001D67E> <U+0001D672><U+0001D677><U+0001D674><U+0001D672><U+0001D67A>-<U+0001D678><U+0001D67D><U+0001D682> <U+2B50><U+FE0F> .  Auto check-ins (i.e. voluntarily offered eye contact) is such a great skill for communication and engagement with your dog. It can help with cueing the next behaviour, redirecting your dog away from a trigger, change directions, loose leash walking... etc. My Humans reinforce me as much as they can whenever I check in so that I will do it more often. We do this both on leash and off leash, because being off leash doesn’t mean it’s time for the human to just do their own thing, go on their phones, or just let dogs play with each other rampantly. It’s a time for a dog to move more freely but still be engaged with their handler! My Humans find that I actually check in more when I’m off leash because they’re even more conscious about rewarding me for check-ins when I’m off leash because it’s such an important behaviour! We also do this both on my left and right side so that I’m not always stretching my head and looking up on one side as that can be uncomfortable after too long.  Human’s tshirt is from @woofcultr. Use our code DAVE15 for 15% off your next order! <U+0001F4B8><U+2764><U+FE0F> . .  #sonya6000 #dogsofsingapore #forcefreetraining #forcefree #dog #singaporedogs #spcasingapore #adoptdontshop #mongrel #positivereinforcement #mongrelsofinstagram #dogstagram #singapawrean #singaporespecial #rescuedog #rescuedogsofinstagram #shelterdog #positivetraining #dogsofliverpool #dogsofengland #dogsofbritain #liverpooldogs #petsbehavingwell",12/1/2020 22:09
345,B4EGj0HpYiS,http://instagram.com/p/B4EGj0HpYiS,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/71109789_2155301651441654_3916074870606202667_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=TIXaugcsNrwAX9laesJ&oh=ebc1d056e9ed5756d300ab418a7145e9&oe=5E685389,242,15893342107,"Mr. Flute, the precious one and love at first sight. Adopted by a wonderful family despite his condition and never reluctant. <U+0001F4F9>  @mr_flute_kitty_cat <U+2800>  v #catslife #pets #amazingcat #kitten #cats_today #miau #gorgeouscat #catsfollowers #cutecatsclub #catsofday #dailycats #instacat #thedailykitten #catractive #catsofgram #igcatjunky #bestcatsclub #onecatnation #pamperedcats #adoptdontshop #dontbuyadopt #happycats #neverreluctant #spcasingapore",26/10/2019 10:09
