date,text
19/3/2020 18:06,"b'No evidence pets can spread Covid-19, owners need not surrender their animals: SPCA https://t.co/9ND80aMEeY via @TODAYonline'"
19/3/2020 5:21,b'It appeared to be an isolated incident linked to territorial aggression displayed by the pet cat. https://t.co/oWUja9bADb'
18/3/2020 20:35,"b'RT @TODAYonline: No evidence pets can spread Covid-19, owners need not surrender their animals: SPCA https://t.co/K0S2kXQEJn https://t.co/t\xe2\x80\xa6'"
18/3/2020 17:56,b'RT @Protect_Wldlife: Just got this info circulated by SPCA Singapore who are asking for help in identifying her.\n\nMore at https://t.co/XozU\xe2\x80\xa6'
24/3/2020 5:19,b'RT @gaunandisewa: @bsaras @NAN_DINI_ @Manekagandhibjp The caretakers use @Manekagandhibjp as their political power. \n\nShe called doctors ma\xe2\x80\xa6'
24/3/2020 5:18,b'RT @jassminejj: First and Ashlan\n\ndog found \n\nhusky found in my neighborhood and I\xe2\x80\x99m just trying to find the owner because I\xe2\x80\x99ll be forced t\xe2\x80\xa6'
24/3/2020 5:16,"b""RT @spcaoftexas: This isn't something we see every day. We asked for help, #Dallas showed up. We had nearly 140 animals go out to foster si\xe2\x80\xa6"""
24/3/2020 5:11,"b'RT @gaunandisewa: During corono virus, we risk everything us &amp; family and rescued this nandi baba, for emergency treatment took him to Spca\xe2\x80\xa6'"
24/3/2020 5:08,"b""RT @nyshelterpets: \xf0\x9f\x98\xb8 Come pick up #RIGATONI now! #spca He's the loveliest! #adoptdontshop \xf0\x9f\x98\x8b https://t.co/X9Ktopnjid https://t.co/jl0OHqEI0V"""
24/3/2020 5:07,b'SPCA really has 50% off adoptions but I can\xe2\x80\x99t adopt a dog bc none of them are hypoallergenic and IM UPSET'
24/3/2020 5:03,b'RT @news4buffalo: GOOD NEWS!!!-\xf0\x9f\x90\xb6The Erie County SPCA  announced on its Facebook page Monday that all the dogs at its West Seneca location h\xe2\x80\xa6'
24/3/2020 4:59,b'RT @kirstydt: PLEASE IF YOU CAN EVERYONE... \nbuy some extra dog and cat food and drop it off at your local SPCA\xe2\x80\x99s. \nThey too need our suppo\xe2\x80\xa6'
24/3/2020 4:59,"b'RT @MorgGiannantoni: A picture from the SPCA\xe2\x80\x99s dog gallery, this brings literal tears to my eyes. Everyone went home\xe2\x99\xa5\xef\xb8\x8f https://t.co/bB9rBNR\xe2\x80\xa6'"
24/3/2020 4:56,"b'@ncwhm I used to volunteer at a SPCA in Burin, NL. There was an enormous orange tabby cat named Tremendous Tim who\xe2\x80\xa6 https://t.co/cd4U2zeGMD'"
24/3/2020 4:50,"b""RT @SkepeMatsebane: Wait, so out in the villages, what's gonna happen to our livestock? Our cows, sheep, goats. Surely, the cows can't be h\xe2\x80\xa6"""
24/3/2020 4:50,b'RT @BurleyBears: One sure fire way to reduce stress in the coming days is to spend time with pets. Meet Dr. Ambush (L) &amp; Sir-Flops-a-Lot (R\xe2\x80\xa6'
24/3/2020 4:32,b'RT @SimoneGiertz: PSA 2: Melba is available for adoption through San Francisco SPCA! She is marvelous and mischievous and very willing to w\xe2\x80\xa6'
24/3/2020 4:30,"b'The same applies across the country. If you can, get hold of your local animal shelter - feral organisation, SPCA,\xe2\x80\xa6 https://t.co/N46WaOm4wr'"
24/3/2020 4:28,"b""RT @Polychromantics: I'm not sure I'll be able to go the SPCA route for cat fostering- their app. form has a lot of requirements that are n\xe2\x80\xa6"""
24/3/2020 4:25,b'RT @SeattleHumane: We\xe2\x80\x99re having a ruff start to this March Muttness competition as we work on our $500 goal for this warm-up round against\xe2\x80\xa6'
24/3/2020 4:19,"b""RT @nyshelterpets: \xf0\x9f\x98\xb9 Pick up #COCO ! #spca She's the cuddliest! #savealife \xf0\x9f\x92\x9a https://t.co/TgMZYhp2L6 https://t.co/VatRQQwCbn"""
24/3/2020 4:13,"b'RT @bingley567: This is ridiculous! Apparently, some people in this country are taking their pets to the SPCA and abandoning them for fear\xe2\x80\xa6'"
24/3/2020 4:12,b'RT @gaunandisewa: Just been informed Deputy CVO Abhishek who is in charge of SPCA sector 94 noida gave threats that i will get them injured\xe2\x80\xa6'
24/3/2020 4:10,b'RT @nyshelterpets: \xf0\x9f\x90\xbe Snuggle #TILLY pronto! #spca She needs your generosity! #Adoption \xe2\x98\xba\xef\xb8\x8f https://t.co/jW1pQQHFE2 https://t.co/OT5YaFXfim'
